gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
FRMD4B	1.6	4.9	1.8	-0.02	0.735	0.8166	0.3	9.948e-07	4.065e-06
MITF	2.2	3.2	0.6	0.17	0.0002101	0.0007353	0.27	1.642e-08	8.096e-08
FOXP1	123.3	124.9	63.8	0.83	1.111e-44	3.294e-43	0.9	1.762e-54	5.414e-53
EIF4E3	0.7	0.8	2.1	-0.15	0.001465	0.004332	-0.13	0.005574	0.01284
RYBP	14.9	11.3	16.3	-0.08	0.3214	0.4443	-0.25	0.001392	0.003636
SHQ1	6.1	8.5	7.5	-0.1	0.1852	0.2873	0.09	0.1986	0.2846
GXYLT2	3.5	4.2	2.7	0.07	0.2312	0.3433	0.15	0.01779	0.03601
PPP4R2	63	69.9	67	-0.08	0.1986	0.3047	0.1	0.0929	0.1507
EBLN2	1.7	1.6	0.8	0.1	0.0219	0.04781	0.09	0.02994	0.05685
PDZRN3	10.3	6.2	18.8	-0.45	1.251e-08	7.686e-08	-0.73	1.066e-20	1.151e-19
CNTN3	1.3	0.9	9.4	-0.66	3.187e-20	4.314e-19	-0.71	3.18e-25	4.127e-24
LINC02018	1.8	0.6	1.1	0.07	0.1131	0.1917	-0.06	0.1566	0.2334
LINC00960	7.6	23.5	21.3	-0.75	8.118e-21	1.124e-19	0.13	0.07628	0.1277
ZNF717	7.6	6.1	6.6	0.07	0.377	0.5029	-0.02	0.753	0.8147
ROBO1	9.7	13.2	13.9	-0.25	0.001544	0.004542	0	0.951	0.9645
GBE1	49.3	71.2	62.7	-0.29	9.44e-06	4.089e-05	0.2	0.000955	0.002562
VGLL3	94.1	121.9	95.5	-0.02	0.7238	0.8078	0.36	1.524e-10	8.973e-10
CHMP2B	38.9	50.7	55.3	-0.4	1.041e-09	7.088e-09	-0.06	0.377	0.4772
CGGBP1	74.3	78.8	76	-0.03	0.6149	0.7203	0.09	0.1141	0.1795
ZNF654	12.6	10.9	12.1	0.03	0.727	0.8103	-0.05	0.5633	0.6563
C3orf38	16.4	16.2	16	0.01	0.856	0.9048	0.04	0.5882	0.6784
EPHA3	2.6	1.4	13.2	-0.76	5.101e-23	7.634e-22	-0.88	2.465e-33	4.204e-32
PROS1	3	4.7	2.5	0.04	0.4721	0.5931	0.21	0.0007256	0.001989
ARL13B	12.4	11	16.8	-0.24	0.002497	0.006983	-0.29	0.0001592	0.000482
DHFR2	1.5	2.8	2.7	-0.11	0.04369	0.08632	0.02	0.6935	0.767
NSUN3	5.7	4.2	4.4	0.1	0.154	0.2479	-0.01	0.9601	0.9711
MTRNR2L12	632.3	495.7	394.2	0.68	1.566e-37	3.954e-36	0.38	1.245e-12	8.645e-12
ARL6	5.6	7.1	6.1	-0.04	0.5539	0.6688	0.1	0.1884	0.2721
CRYBG3	25.1	22.2	26.8	-0.07	0.3768	0.5027	-0.14	0.05168	0.09144
RIOX2	18.2	19.2	19.5	-0.06	0.429	0.5535	0.02	0.7741	0.8316
CLDND1	15.3	19.2	14	0.07	0.4	0.525	0.29	0.0001085	0.0003362
CPOX	6.3	9.5	7.6	-0.1	0.2002	0.3066	0.16	0.03539	0.06596
DCBLD2	291	342	201.8	0.49	3.924e-23	5.914e-22	0.76	6.06e-58	1.992e-56
LINC00973	2.9	10.4	0.7	0.22	8.439e-06	3.68e-05	0.81	1.064e-37	2.076e-36
COL8A1	388.3	207.3	104.9	1.75	8.895e-173	1.689e-170	0.95	2.313e-51	6.552e-50
CMSS1	35.7	42.3	30.9	0.15	0.03377	0.06943	0.38	7.499e-09	3.836e-08
FILIP1L	48.3	27.4	120.7	-1.14	4.929e-60	2.216e-58	-1.7	1.172e-123	1.007e-121
TBC1D23	26.8	24.1	21.1	0.22	0.002751	0.007612	0.16	0.02622	0.05063
NIT2	19.6	23.5	25.9	-0.26	0.0006599	0.002106	-0.05	0.4551	0.5548
TOMM70	48	48.5	51.5	-0.09	0.1857	0.2878	-0.03	0.7249	0.7929
LNP1	1.9	2.8	1.7	0.01	0.7458	0.8249	0.11	0.03733	0.06913
TMEM45A	28.2	33.9	18.5	0.38	2.426e-07	1.294e-06	0.62	1.444e-18	1.421e-17
TFG	108.7	123.6	87	0.28	6.693e-07	3.391e-06	0.5	2.528e-20	2.695e-19
ABI3BP	50.4	92.4	23.1	0.81	1.017e-32	2.258e-31	1.6	2.978e-128	2.745e-126
SENP7	5.4	5.7	4.8	0.04	0.5187	0.6388	0.09	0.1929	0.2778
TRMT10C	22.4	25.3	25.5	-0.12	0.1011	0.1747	0.03	0.6308	0.7148
PCNP	82.9	88	98	-0.22	0.0001088	0.0004007	-0.09	0.1103	0.1744
ZBTB11	13.2	10.1	11.6	0.09	0.2581	0.3746	-0.07	0.3742	0.4741
ZBTB11-AS1	8	7.6	10.1	-0.14	0.0668	0.1234	-0.15	0.05189	0.09175
RPL24	1402.1	1337.6	1288.6	0.11	1.95e-07	1.051e-06	0.1	7.436e-06	2.722e-05
CEP97	8.4	6.5	6.6	0.13	0.08351	0.149	0.01	0.8503	0.8899
NXPE3	15.5	14.1	30.2	-0.61	2.059e-15	2.164e-14	-0.66	1.619e-18	1.587e-17
NFKBIZ	10.9	12.7	4.8	0.43	9.116e-09	5.673e-08	0.57	1.231e-14	9.74e-14
ALCAM	189.5	190.8	139.1	0.41	5.292e-16	5.744e-15	0.47	3.556e-22	4.097e-21
CBLB	39.3	31.3	23.1	0.54	3.317e-14	3.221e-13	0.34	1.036e-06	4.22e-06
LINC00882	26.5	29.5	4	1.24	1.95e-60	8.921e-59	1.4	7.002e-80	3.349e-78
DUBR	9	11.7	9.4	-0.02	0.7462	0.8251	0.17	0.02156	0.04257
BBX	82.7	90.5	59.2	0.4	3.326e-11	2.569e-10	0.57	1.754e-22	2.055e-21
CD47	61.4	60	71.9	-0.2	0.001514	0.004464	-0.17	0.004151	0.00982
IFT57	69	80.4	53.5	0.3	1.575e-06	7.619e-06	0.54	6.759e-20	7.036e-19
CIP2A	20.3	16.5	26.9	-0.27	0.0004051	0.001345	-0.41	3.693e-08	1.763e-07
DZIP3	7.9	4.2	5.5	0.18	0.01811	0.04054	-0.09	0.1763	0.2572
NECTIN3	19.6	23	32.7	-0.49	4.474e-11	3.422e-10	-0.31	1.297e-05	4.601e-05
PLCXD2	3.5	4	0.7	0.28	2.24e-08	1.337e-07	0.34	3.332e-11	2.069e-10
PHLDB2	39.4	47.4	32.4	0.21	0.002824	0.007783	0.47	5.824e-13	4.119e-12
ABHD10	9.6	14.3	12.9	-0.2	0.01032	0.0247	0.11	0.149	0.2238
TAGLN3	0.8	3.3	0.8	0	0.8801	0.9228	0.26	3.523e-07	1.522e-06
C3orf52	3	5.7	3.4	-0.04	0.5506	0.6663	0.22	0.001379	0.003604
ATG3	98.6	86.6	109	-0.13	0.01516	0.0347	-0.25	7.8e-06	2.848e-05
SLC35A5	15.7	15.9	13.8	0.09	0.2132	0.3227	0.15	0.05453	0.09583
CCDC80	633.6	832.7	1252.1	-0.98	3.133e-152	4.861e-150	-0.54	6.741e-60	2.287e-58
GTPBP8	9	10	11.1	-0.14	0.08505	0.1513	-0.04	0.5966	0.685
NEPRO	20.7	20.1	18.4	0.1	0.2001	0.3064	0.11	0.1385	0.2109
BOC	2.7	5.8	15.7	-0.89	1.122e-29	2.219e-28	-0.61	5.614e-15	4.523e-14
CFAP44	0.6	1.5	1	-0.04	0.2365	0.3495	0.06	0.1753	0.2561
SPICE1	7.8	5.5	5.5	0.17	0.02297	0.04985	0.02	0.784	0.8396
USF3	10.3	9.9	10.9	-0.04	0.6235	0.7276	-0.04	0.6391	0.722
NAA50	88.6	101	113	-0.32	2.618e-08	1.557e-07	-0.1	0.06535	0.1121
ATP6V1A	31.8	34.9	25	0.24	0.001106	0.003363	0.38	3.077e-08	1.481e-07
GRAMD1C	5.1	3.5	9.1	-0.3	8.519e-05	0.0003191	-0.43	4.254e-09	2.228e-08
ZDHHC23	0.7	0.2	1.7	-0.11	0.0157	0.03582	-0.16	1.186e-05	4.229e-05
CCDC191	1.5	2.1	2.4	-0.09	0.09386	0.1641	-0.02	0.6989	0.7711
QTRT2	7.4	6.8	8.3	-0.07	0.3988	0.5235	-0.09	0.2641	0.3585
ZBTB20	64.8	63.5	55.6	0.18	0.005678	0.01447	0.2	0.001116	0.002963
GAP43	8	4.5	0.5	0.65	1.448e-26	2.509e-25	0.4	2.583e-14	2.003e-13
LSAMP	3.5	1.5	0.4	0.31	2.413e-10	1.721e-09	0.12	0.001735	0.00444
AC092691.1	6	3.1	0.2	0.54	9.116e-24	1.404e-22	0.31	2.115e-12	1.442e-11
B4GALT4	33.4	30.3	33.6	-0.01	0.9164	0.9459	-0.07	0.3575	0.4569
ARHGAP31	27.2	30.6	25.6	0.05	0.45	0.5735	0.22	0.001794	0.004575
TMEM39A	18.8	16.8	19.3	-0.03	0.7252	0.8088	-0.09	0.2514	0.3453
POGLUT1	12.7	10.4	9.9	0.17	0.03023	0.06318	0.06	0.4595	0.5589
TIMMDC1	48.8	44.2	53.3	-0.11	0.08951	0.1579	-0.17	0.006151	0.01401
ADPRH	3.2	3.5	0.8	0.23	5.101e-06	2.297e-05	0.27	9.497e-08	4.339e-07
COX17	173.5	186.2	143.1	0.25	2.806e-07	1.484e-06	0.4	1.089e-17	1.031e-16
GSK3B	63	73.7	54.5	0.16	0.01007	0.02418	0.41	9.439e-12	6.102e-11
AC092910.3	1.1	0.9	1.1	0.01	0.8871	0.927	-0.02	0.6991	0.7711
LRRC58	50.1	58.7	55.1	-0.12	0.0801	0.144	0.12	0.04866	0.08681
FSTL1	685.2	683.2	579.7	0.22	2.744e-10	1.949e-09	0.28	3.865e-16	3.349e-15
NDUFB4	163.4	156	205.5	-0.31	8.36e-12	6.765e-11	-0.32	7.205e-13	5.066e-12
RABL3	6.4	6.4	8.4	-0.15	0.0612	0.1147	-0.12	0.09913	0.1594
GTF2E1	2.4	3	3.9	-0.14	0.027	0.05729	-0.07	0.2893	0.3859
POLQ	6.5	6.7	11.3	-0.32	3.351e-05	0.0001337	-0.29	0.0001605	0.0004857
HCLS1	4.5	0.1	0.4	0.39	4.654e-14	4.478e-13	-0.04	0.06207	0.1072
GOLGB1	81.2	87	71.8	0.15	0.01628	0.03701	0.29	6.235e-07	2.606e-06
IQCB1	5.9	6.5	7.5	-0.11	0.1276	0.212	-0.05	0.4911	0.5896
CCDC58	11.5	19.5	22.7	-0.56	2.988e-12	2.523e-11	-0.1	0.169	0.2484
FAM162A	38.5	44.6	20.3	0.63	1.385e-18	1.716e-17	0.85	1.564e-35	2.862e-34
WDR5B	6.2	5.5	6.3	-0.01	0.96	0.9748	-0.04	0.5719	0.6641
AC083798.2	5.5	5.3	6.5	-0.09	0.2539	0.3694	-0.08	0.297	0.3943
KPNA1	45.2	47.1	44.7	0.01	0.8951	0.9327	0.1	0.08873	0.1449
PARP9	3.8	4.8	3.7	0.01	0.872	0.9166	0.11	0.1012	0.1623
DTX3L	8.5	9	10.3	-0.12	0.1345	0.2212	-0.06	0.4193	0.5199
PARP14	6	8.8	8.4	-0.18	0.02094	0.04593	0.05	0.5098	0.6072
HSPBAP1	2	1.4	3	-0.1	0.09258	0.1624	-0.15	0.004698	0.01099
DIRC2	7.4	7.3	6.2	0.09	0.2509	0.3659	0.11	0.1471	0.2217
LINC02035	1.4	1.6	1.3	0.02	0.685	0.7779	0.05	0.3073	0.4055
PDIA5	13.6	15.3	19.4	-0.29	0.0002097	0.0007342	-0.17	0.0268	0.05156
SEC22A	4.8	5.5	6.8	-0.16	0.03058	0.0637	-0.08	0.2579	0.3522
HACD2	22.6	20.1	31.9	-0.34	4.213e-06	1.925e-05	-0.41	1.672e-08	8.24e-08
MYLK-AS1	2.4	3	3.2	-0.07	0.2358	0.349	-0.01	0.9127	0.9377
MYLK	53.8	68.7	112	-0.91	7.607e-42	2.113e-40	-0.57	7.377e-20	7.667e-19
CCDC14	23.1	23.4	17.2	0.26	0.0007136	0.00226	0.31	1.99e-05	6.869e-05
KALRN	1.6	4.7	0.8	0.08	0.05276	0.1013	0.38	2.763e-12	1.862e-11
UMPS	10.8	12.9	14.4	-0.21	0.008683	0.02113	-0.05	0.4869	0.5855
ITGB5	111.5	98.8	81.4	0.39	2.16e-11	1.69e-10	0.29	5.779e-07	2.43e-06
HEG1	132	101.6	88.1	0.51	6.554e-17	7.518e-16	0.23	0.0001199	0.00037
SLC12A8	5.3	3.4	3.6	0.14	0.04649	0.09116	-0.01	0.85	0.8896
ZNF148	60.4	54.4	54.9	0.1	0.1007	0.1742	0.03	0.6054	0.6931
SNX4	14.5	15.7	14.7	-0.02	0.8278	0.8851	0.08	0.2733	0.3684
OSBPL11	5.9	6.7	5.2	0.06	0.4072	0.5317	0.14	0.04318	0.07843
AC092903.2	1.1	1.6	1.6	-0.06	0.1973	0.3029	0	0.9916	0.9947
SLC41A3	16.2	16.6	17.4	-0.06	0.4245	0.5494	-0.01	0.9434	0.959
ZXDC	5.4	5	5.2	0.01	0.8392	0.8928	0	0.9482	0.9625
TXNRD3	4	3.9	6.2	-0.18	0.0128	0.02988	-0.18	0.01039	0.0225
CHCHD6	25.5	22	24.7	0.03	0.7156	0.8017	-0.07	0.339	0.4386
PLXNA1	24	30.5	20.9	0.12	0.1086	0.1854	0.41	1.205e-08	6.045e-08
TPRA1	35.1	38.2	47.6	-0.34	4.213e-07	2.186e-06	-0.2	0.001705	0.004372
MCM2	11.3	10	20.9	-0.49	5.994e-10	4.167e-09	-0.54	1.642e-12	1.135e-11
PODXL2	1	2	0.5	0.05	0.1473	0.2386	0.16	7.978e-05	0.0002521
ABTB1	8.1	10.9	10.8	-0.18	0.02643	0.05629	0.03	0.6684	0.7475
MGLL	138.6	197.8	200.9	-0.5	7.083e-24	1.096e-22	0.02	0.6075	0.6946
SEC61A1	172.8	204.1	177	-0.04	0.3733	0.4989	0.24	1.034e-07	4.715e-07
RUVBL1	31.9	32.3	48.8	-0.47	6.198e-12	5.094e-11	-0.41	3.42e-10	1.961e-09
EEFSEC	8.9	11.3	12.5	-0.23	0.004344	0.01146	-0.04	0.5947	0.6838
GATA2	7.1	4.9	51.3	-1.7	3.243e-104	3.079e-102	-1.86	1.291e-129	1.216e-127
GATA2-AS1	1.4	2	26.1	-1.47	2.703e-73	1.585e-71	-1.41	2.299e-72	9.949e-71
RPN1	107.9	113.9	130.3	-0.25	5.433e-06	2.437e-05	-0.13	0.01681	0.03425
RAB7A	120	137.7	150.8	-0.31	1.232e-09	8.331e-09	-0.07	0.1245	0.193
ACAD9	16.7	16.1	18.8	-0.1	0.1877	0.29	-0.1	0.2093	0.2967
RAB43	3.3	3.3	4.4	-0.1	0.1451	0.2359	-0.08	0.2106	0.2983
ISY1	6.2	7.2	8.6	-0.18	0.02132	0.04672	-0.08	0.2595	0.3541
CNBP	216.2	218.4	261.3	-0.27	9.552e-10	6.533e-09	-0.19	1.861e-06	7.336e-06
COPG1	49.7	50.9	54.9	-0.12	0.06444	0.1197	-0.04	0.4809	0.5794
HMCES	11.2	13.3	9.9	0.08	0.3097	0.4317	0.24	0.001903	0.004822
H1FX	66.4	61.4	94.9	-0.45	4.182e-11	3.207e-10	-0.49	1.06e-13	7.887e-13
MBD4	41.1	40.2	42.3	-0.03	0.627	0.7308	-0.01	0.893	0.9226
IFT122	5.5	5	7.7	-0.17	0.02546	0.05441	-0.19	0.01031	0.02234
PLXND1	54	35.3	49.4	0.1	0.1282	0.2129	-0.33	3.239e-07	1.404e-06
TMCC1	11.8	10.4	10	0.11	0.1583	0.2537	0.05	0.4881	0.5867
TMCC1-AS1	1.6	2.9	2.8	-0.11	0.0463	0.09084	0.02	0.7257	0.7933
PIK3R4	7	7.6	8.5	-0.11	0.1608	0.2568	-0.04	0.5702	0.6624
ATP2C1	58.4	48.5	75.2	-0.31	6.524e-07	3.312e-06	-0.48	4.5e-15	3.649e-14
ASTE1	5.1	4	4.8	0.02	0.7492	0.827	-0.05	0.4568	0.5566
NEK11	3	3.5	5.1	-0.18	0.007127	0.01779	-0.13	0.06124	0.1059
NUDT16	37.7	38.6	52.2	-0.37	1.993e-08	1.198e-07	-0.3	2.51e-06	9.774e-06
MRPL3	66.6	71.7	89.3	-0.37	1.207e-09	8.17e-09	-0.23	8.964e-05	0.0002814
DNAJC13	34.1	33.8	36	-0.06	0.3926	0.5175	-0.03	0.7321	0.7975
ACAD11	3.1	3.1	3.2	-0.01	0.8845	0.9253	0.01	0.8827	0.9147
UBA5	26.8	30.5	28.3	-0.06	0.4465	0.5707	0.12	0.08883	0.145
NPHP3	8.8	9.8	7.1	0.12	0.1137	0.1926	0.21	0.00419	0.009894
TMEM108	3.3	3	0.3	0.3	4.106e-11	3.154e-10	0.29	6.755e-11	4.088e-10
CDV3	104.2	127.9	105.7	-0.03	0.6145	0.72	0.29	1.578e-08	7.802e-08
TOPBP1	29.4	32	37.3	-0.25	0.0003976	0.001323	-0.12	0.07582	0.127
SRPRB	28.7	33.2	31	-0.08	0.2766	0.3953	0.12	0.08847	0.1445
RAB6B	1.4	2.9	1.4	0.01	0.8739	0.9179	0.16	0.002326	0.005798
SLCO2A1	0.3	0.1	2.6	-0.24	2.577e-07	1.37e-06	-0.27	3.556e-10	2.032e-09
RYK	28.4	24.7	22.8	0.21	0.004877	0.01269	0.11	0.1051	0.1674
AMOTL2	70.5	89	93	-0.35	1.994e-08	1.198e-07	-0.01	0.867	0.9029
ANAPC13	140	142.3	109.4	0.32	7.553e-10	5.207e-09	0.39	3.589e-15	2.927e-14
CEP63	35	31	40.5	-0.16	0.01739	0.03916	-0.25	0.000272	0.0007955
EPHB1	4.2	6.8	5.3	-0.1	0.1834	0.2852	0.14	0.05527	0.09691
KY	2.1	3.4	1.4	0.07	0.1757	0.2759	0.2	0.000225	0.0006653
PPP2R3A	23.5	26.6	38.4	-0.5	4.144e-12	3.464e-11	-0.34	6.406e-07	2.675e-06
MSL2	7.5	8.1	9.9	-0.17	0.03236	0.06696	-0.1	0.1835	0.2663
PCCB	5.6	7.6	12.9	-0.49	4.617e-10	3.236e-09	-0.32	3.441e-05	0.0001146
STAG1	35.5	35.3	48.6	-0.35	1.333e-07	7.342e-07	-0.31	1.237e-06	4.98e-06
SLC35G2	12.2	14	7	0.34	1.077e-05	4.622e-05	0.48	2.296e-10	1.334e-09
NCK1-DT	3	2.6	3.3	-0.03	0.6575	0.7559	-0.05	0.4203	0.5211
NCK1	24.3	26.2	27.2	-0.11	0.1349	0.2218	0	0.981	0.9875
IL20RB	0.3	0.4	1.8	-0.17	6.625e-05	0.0002525	-0.15	0.0003069	0.0008916
DZIP1L	7.5	5.5	9.1	-0.12	0.131	0.2166	-0.25	0.0008997	0.002425
DBR1	3.6	4.4	6.6	-0.24	0.0007904	0.002479	-0.16	0.02764	0.05297
ARMC8	19	18.7	22.7	-0.16	0.03308	0.06825	-0.14	0.05928	0.1029
MRAS	76.9	90	82.5	-0.09	0.1289	0.2137	0.16	0.007204	0.01614
ESYT3	0.1	0.6	1.8	-0.18	1.836e-06	8.796e-06	-0.13	0.003364	0.008112
CEP70	14.5	13.6	19	-0.23	0.003691	0.009922	-0.24	0.001627	0.004187
FAIM	27.7	23.8	35.6	-0.26	0.000262	0.0009026	-0.37	1.526e-07	6.837e-07
PIK3CB	11	11.3	9.7	0.08	0.3163	0.4391	0.13	0.08911	0.1454
FOXL2	0.8	3.7	11.6	-0.87	2.292e-32	5.019e-31	-0.56	5.931e-14	4.523e-13
FOXL2NB	0.1	1	2.7	-0.27	1.03e-09	7.02e-09	-0.17	0.0009364	0.002515
MRPS22	25.8	24.1	38.2	-0.41	1.343e-08	8.22e-08	-0.43	5.703e-10	3.207e-09
COPB2	73.3	63.2	81.8	-0.14	0.02667	0.05669	-0.27	1.129e-05	4.034e-05
AC097103.2	2.7	2	1.1	0.16	0.001953	0.005608	0.1	0.03544	0.066
SLC25A36	41.7	45.6	30.2	0.34	7.74e-07	3.896e-06	0.49	5.256e-14	4.016e-13
PXYLP1	5	3.9	15.7	-0.69	5.26e-18	6.367e-17	-0.77	2.36e-23	2.86e-22
ZBTB38	104.7	90.7	107.1	-0.03	0.5564	0.6711	-0.16	0.003021	0.007352
RASA2	20.3	16.2	20.3	0	0.9794	0.9874	-0.16	0.03436	0.06421
RNF7	371.6	440.4	369.7	0	0.9305	0.9554	0.28	8.158e-18	7.797e-17
ATP1B3	88.6	94.3	104.2	-0.21	0.0001266	0.0004615	-0.08	0.1265	0.1956
TFDP2	34.6	30	28.5	0.19	0.005295	0.01362	0.09	0.1694	0.2487
GK5	31.5	26.8	22.7	0.32	1.361e-05	5.754e-05	0.2	0.005753	0.01321
XRN1	22.4	23.2	19.1	0.14	0.06384	0.1187	0.21	0.003497	0.00841
ATR	9.5	10.4	9.4	0	0.9344	0.9585	0.09	0.2263	0.3169
TRPC1	7.9	7.8	8.6	-0.05	0.4919	0.6126	-0.03	0.6709	0.7489
PCOLCE2	45.1	53.8	46.3	-0.03	0.6157	0.7208	0.22	0.0006672	0.001837
U2SURP	64.7	65.3	67.6	-0.06	0.3391	0.4634	0.01	0.9241	0.9461
AC026304.1	2.1	1.6	2.9	-0.07	0.2029	0.3099	-0.12	0.03981	0.07312
CHST2	6.5	5.7	2.7	0.32	2.577e-06	1.209e-05	0.28	2.535e-05	8.619e-05
C3orf58	4.9	7.8	4.2	0.06	0.4062	0.5306	0.31	1.43e-05	5.039e-05
PLOD2	170.1	227.2	82.1	0.93	1.18e-56	4.952e-55	1.38	2.245e-132	2.214e-130
PLSCR4	9.8	8.7	6.7	0.21	0.005433	0.01392	0.17	0.02215	0.04358
PLSCR1	9.9	9.9	11.9	-0.13	0.114	0.1929	-0.1	0.2044	0.2912
ZIC4	0.6	2	4.7	-0.4	1.115e-11	8.956e-11	-0.25	0.0001042	0.0003236
ZIC1	0.9	8.9	26.5	-1.55	4.56e-82	3.187e-80	-0.85	5.822e-28	8.257e-27
AGTR1	4.3	2	13.3	-0.62	5.008e-15	5.137e-14	-0.83	9.376e-29	1.362e-27
GYG1	37	37.7	51	-0.36	4.008e-08	2.34e-07	-0.3	3.389e-06	1.297e-05
HLTF	28.2	25.1	34.7	-0.22	0.00233	0.006575	-0.29	3.356e-05	0.0001121
HPS3	20.7	15.3	22.5	-0.08	0.307	0.429	-0.3	7.08e-05	0.0002257
TM4SF1	214.2	291.2	38	2.15	5.055e-201	1.398e-198	2.62	8.142e-282	6.093e-279
WWTR1	153.1	116.7	45.7	1.5	3.194e-125	3.983e-123	1.2	1.191e-82	5.989e-81
WWTR1-AS1	1.4	1.3	0.9	0.05	0.2206	0.3313	0.05	0.2616	0.3563
COMMD2	35.7	33.7	34.3	0.04	0.555	0.6699	0.03	0.7042	0.7755
RNF13	23.2	24.7	24.2	-0.04	0.58	0.6915	0.06	0.3853	0.4858
PFN2	248.7	301.3	337.2	-0.42	1.202e-26	2.089e-25	-0.1	0.004876	0.01137
TSC22D2	26.6	26.3	43	-0.51	7.257e-13	6.442e-12	-0.48	2.386e-12	1.616e-11
SERP1	394.6	491	408.3	-0.05	0.09804	0.1703	0.3	2.418e-21	2.682e-20
EIF2A	40.7	41.7	39.1	0.04	0.546	0.6621	0.11	0.07636	0.1278
SELENOT	122.3	144.9	107.5	0.16	0.002469	0.006915	0.44	3.882e-18	3.753e-17
ERICH6-AS1	3	2.9	1.4	0.15	0.005498	0.01406	0.16	0.003497	0.00841
SIAH2	24.1	27	24.8	-0.03	0.6991	0.7883	0.12	0.0797	0.1324
MBNL1	203.8	197	171.6	0.22	3.757e-06	1.725e-05	0.23	5.5e-07	2.321e-06
MBNL1-AS1	45	66.8	31	0.4	4.126e-09	2.652e-08	0.91	8.594e-44	2.01e-42
RAP2B	27.3	24.4	37.4	-0.33	4.384e-06	2.001e-05	-0.4	1.413e-08	7.032e-08
ARHGEF26	0.8	0.9	3.1	-0.23	1.226e-05	5.221e-05	-0.22	4.432e-05	0.0001453
DHX36	48.9	52.4	44.4	0.1	0.1096	0.1869	0.23	0.00017	0.0005127
MME	0.9	2.5	5.5	-0.43	7.051e-12	5.739e-11	-0.26	0.0001019	0.0003173
C3orf33	1.1	2.1	1.8	-0.07	0.1399	0.2288	0.03	0.5805	0.6714
SLC33A1	6.9	8.6	5.7	0.09	0.2284	0.3406	0.24	0.001063	0.00283
GMPS	34.9	36.7	42.5	-0.22	0.001284	0.003857	-0.12	0.0678	0.1157
SSR3	391.7	455.2	333.3	0.21	5.214e-09	3.316e-08	0.47	3.446e-41	7.544e-40
TIPARP-AS1	1.8	0.8	1.4	0.05	0.3474	0.4713	-0.05	0.2028	0.2894
TIPARP	43.7	44.1	30.1	0.39	7.865e-09	4.931e-08	0.45	3.82e-12	2.544e-11
LINC00886	3.1	2.4	1.3	0.17	0.001544	0.004542	0.12	0.01963	0.03911
LEKR1	1.3	0.8	0.9	0.05	0.2448	0.3588	0	0.9677	0.9772
CCNL1	33	28.7	29	0.13	0.07231	0.132	0.03	0.6611	0.7407
VEPH1	52.8	51.6	39.9	0.31	2.271e-06	1.072e-05	0.33	1.185e-07	5.361e-07
PTX3	98.9	154.4	23.6	1.62	5.523e-97	4.715e-95	2.27	1.758e-184	3.106e-182
PQLC2L	18.5	8.3	18.7	-0.02	0.8659	0.9122	-0.57	3.902e-13	2.786e-12
SHOX2	0.9	0.8	16.6	-1.12	4.069e-48	1.324e-46	-1.13	3.328e-52	9.667e-51
RSRC1	18.5	20.9	51.1	-1.04	2.115e-46	6.438e-45	-0.9	1.212e-38	2.449e-37
MLF1	14.4	9.3	9.2	0.31	8.834e-05	0.0003298	0.03	0.6743	0.7517
GFM1	16.3	18.1	16.4	0	0.929	0.9544	0.12	0.1155	0.1814
LXN	37.5	15	7.1	1.35	3.955e-72	2.246e-70	0.52	5.632e-12	3.703e-11
RARRES1	2.3	2.1	0.9	0.14	0.003868	0.01036	0.13	0.006875	0.01547
MFSD1	57.4	53.8	48.3	0.2	0.002011	0.005753	0.17	0.005557	0.0128
IQCJ-SCHIP1	17.7	18.5	17.9	-0.01	0.888	0.9278	0.06	0.3953	0.4957
SCHIP1	1.3	3	1.4	-0.01	0.8648	0.9117	0.16	0.002267	0.005664
IL12A	1	3	3	-0.2	0.0001778	0.0006306	0.01	0.8893	0.9197
IFT80	7.2	8.5	8	-0.06	0.4349	0.5593	0.06	0.4472	0.5472
SMC4	92.3	75.5	117.6	-0.32	1.734e-06	8.338e-06	-0.51	2.188e-14	1.705e-13
TRIM59	12.3	10.8	12.8	-0.03	0.6829	0.7766	-0.09	0.2279	0.3187
KPNA4	79.3	81	80.6	-0.03	0.6401	0.7416	0.06	0.3282	0.4273
B3GALNT1	12.7	13.2	9.5	0.2	0.01134	0.02683	0.26	0.0007851	0.002137
NMD3	21.8	21.5	20.7	0.04	0.5716	0.685	0.07	0.333	0.4324
PDCD10	42.9	42.3	43.2	-0.01	0.8719	0.9166	0.02	0.7608	0.8213
GOLIM4	98.7	99.1	126.1	-0.33	2.204e-08	1.317e-07	-0.26	2.373e-06	9.269e-06
MECOM	8	7.9	1.3	0.57	1.32e-18	1.639e-17	0.59	2.916e-20	3.101e-19
ACTRT3	3.4	2.6	2.6	0.07	0.2158	0.3258	0.01	0.833	0.8772
MYNN	14.3	13.4	15.3	-0.06	0.4781	0.5987	-0.07	0.3538	0.4536
LRRC34	3.9	3.8	3.6	0.03	0.7186	0.8036	0.03	0.6859	0.7612
SEC62	174.8	165.1	186.2	-0.09	0.03827	0.07718	-0.11	0.009935	0.02159
PHC3	24.7	23.8	26.2	-0.06	0.4344	0.5589	-0.06	0.4527	0.5522
AC008040.5	1.7	1.6	1.4	0.03	0.5275	0.6467	0.03	0.5221	0.6182
